,short_name,version,message,opendap_url
545,M2T1NXLND,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T1NXLND.5.12.4/1980/01/MERRA2_100.tavg1_2d_lnd_Nx.19800101.nc4
546,M2T1NXOCN,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T1NXOCN.5.12.4/1980/01/MERRA2_100.tavg1_2d_ocn_Nx.19800101.nc4
547,M2T1NXRAD,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T1NXRAD.5.12.4/1980/01/MERRA2_100.tavg1_2d_rad_Nx.19800101.nc4
548,M2T1NXSLV,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T1NXSLV.5.12.4/1980/01/MERRA2_100.tavg1_2d_slv_Nx.19800101.nc4
549,M2T3NXGLC,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NXGLC.5.12.4/1980/01/MERRA2_100.tavg3_2d_glc_Nx.19800101.nc4
550,M2T3NVASM,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NVASM.5.12.4/1980/01/MERRA2_100.tavg3_3d_asm_Nv.19800101.nc4
551,M2T3NPCLD,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NPCLD.5.12.4/1980/01/MERRA2_100.tavg3_3d_cld_Np.19800101.nc4
552,M2T3NVCLD,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NVCLD.5.12.4/1980/01/MERRA2_100.tavg3_3d_cld_Nv.19800101.nc4
553,M2T3NEMST,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NEMST.5.12.4/1980/01/MERRA2_100.tavg3_3d_mst_Ne.19800101.nc4
554,M2T3NPMST,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NPMST.5.12.4/1980/01/MERRA2_100.tavg3_3d_mst_Np.19800101.nc4
555,M2T3NVMST,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NVMST.5.12.4/1980/01/MERRA2_100.tavg3_3d_mst_Nv.19800101.nc4
556,M2T3NENAV,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NENAV.5.12.4/1980/01/MERRA2_100.tavg3_3d_nav_Ne.19800101.nc4
557,M2T3NPODT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NPODT.5.12.4/1980/01/MERRA2_100.tavg3_3d_odt_Np.19800101.nc4
558,M2T3NPQDT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NPQDT.5.12.4/1980/01/MERRA2_100.tavg3_3d_qdt_Np.19800101.nc4
559,M2T3NPRAD,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NPRAD.5.12.4/1980/01/MERRA2_100.tavg3_3d_rad_Np.19800101.nc4
560,M2T3NVRAD,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NVRAD.5.12.4/1980/01/MERRA2_100.tavg3_3d_rad_Nv.19800101.nc4
561,M2T3NPTDT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NPTDT.5.12.4/1980/01/MERRA2_100.tavg3_3d_tdt_Np.19800101.nc4
562,M2T3NETRB,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NETRB.5.12.4/1980/01/MERRA2_100.tavg3_3d_trb_Ne.19800101.nc4
563,M2T3NPTRB,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NPTRB.5.12.4/1980/01/MERRA2_100.tavg3_3d_trb_Np.19800101.nc4
564,M2T3NPUDT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2/M2T3NPUDT.5.12.4/1980/01/MERRA2_100.tavg3_3d_udt_Np.19800101.nc4
565,M2TCNXLTM,2,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_CLIM/M2TCNXLTM.2/1991/MERRA2.tavgC_2d_ltm_Nx.v2_0.199101_202001.nc4
566,M2TCNXLTM,1,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_CLIM/M2TCNXLTM.1/1981/MERRA2.tavgC_2d_ltm_Nx.198101_201001.nc4
567,M2TCNPLTM,2,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_CLIM/M2TCNPLTM.2/1991/MERRA2.tavgC_3d_ltm_Np.v2_0.199101_202001.nc4
568,M2TCNPLTM,1,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_CLIM/M2TCNPLTM.1/1981/MERRA2.tavgC_3d_ltm_Np.198101_201001.nc4
569,M2TMNXADG,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXADG.5.12.4/1980/MERRA2_100.tavgM_2d_adg_Nx.198001.nc4
570,M2TMNXAER,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXAER.5.12.4/1980/MERRA2_100.tavgM_2d_aer_Nx.198001.nc4
571,M2TMNXCHM,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXCHM.5.12.4/1980/MERRA2_100.tavgM_2d_chm_Nx.198001.nc4
572,M2TMNXCSP,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXCSP.5.12.4/1980/MERRA2_100.tavgM_2d_csp_Nx.198001.nc4
573,M2TMNXFLX,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXFLX.5.12.4/1980/MERRA2_100.tavgM_2d_flx_Nx.198001.nc4
574,M2TMNXGLC,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXGLC.5.12.4/1980/MERRA2_100.tavgM_2d_glc_Nx.198001.nc4
575,M2TMNXINT,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXINT.5.12.4/1980/MERRA2_100.tavgM_2d_int_Nx.198001.nc4
