,short_name,version,message,opendap_url
36,GSSTFM_NCEP,3,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/GSSTF/GSSTFM_NCEP.3/1987/GSSTFM_NCEP.3.1987.07.01.he5
37,SFC_NITROGEN_DIOXIDE_CONC,1,success,https://acdisc.gesdisc.eosdis.nasa.gov/opendap/HAQAST/SFC_NITROGEN_DIOXIDE_CONC.1//SurfaceNO2_0.0083deg_1990.nc
38,NLDAS_MOS0125_H,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_MOS0125_H.2.0/1979/002/NLDAS_MOS0125_H.A19790102.0000.020.nc
39,NLDAS_MOS0125_M,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_MOS0125_M.2.0/1979/NLDAS_MOS0125_M.A197901.020.nc
40,NLDAS_MOS0125_MC,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_MOS0125_MC.2.0//NLDAS_MOS0125_MC.ACLIM01.020.nc
41,NLDAS_NOAH0125_H,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_NOAH0125_H.2.0/1979/002/NLDAS_NOAH0125_H.A19790102.0100.020.nc
42,NLDAS_NOAH0125_M,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_NOAH0125_M.2.0/1979/NLDAS_NOAH0125_M.A197901.020.nc
43,NLDAS_NOAH0125_MC,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_NOAH0125_MC.2.0//NLDAS_NOAH0125_MC.ACLIM01.020.nc
44,NLDAS_FORA0125_H,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_FORA0125_H.2.0/1979/001/NLDAS_FORA0125_H.A19790101.1300.020.nc
45,NLDAS_FORA0125_M,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_FORA0125_M.2.0/1979/NLDAS_FORA0125_M.A197901.020.nc
46,NLDAS_FORA0125_MC,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_FORA0125_MC.2.0//NLDAS_FORA0125_MC.ACLIM01.020.nc
47,NLDAS_FORB0125_H,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_FORB0125_H.2.0/1979/001/NLDAS_FORB0125_H.A19790101.1300.020.nc
48,NLDAS_FORB0125_M,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_FORB0125_M.2.0/1979/NLDAS_FORB0125_M.A197901.020.nc
49,NLDAS_FORB0125_MC,2.0,success,https://hydro1.gesdisc.eosdis.nasa.gov/opendap/NLDAS/NLDAS_FORB0125_MC.2.0//NLDAS_FORB0125_MC.ACLIM01.020.nc
